item_id,nonzero_month_count,total_month_count,total_count,monthly_count,nonzero_ratio
AANGBULD,29,43,56,12,0.6744186046511628
AHMDUILJ,43,43,129,12,1.0
ANWUJOKX,8,43,18,8,0.18604651162790697
APQGTRMF,42,43,115,12,0.9767441860465116
ATLDMDBO,43,43,125,12,1.0
AXULOHBQ,43,43,129,12,1.0
BEZYMBBT,43,43,129,12,1.0
BJALXPFS,43,43,129,12,1.0
BLANHGYY,29,43,64,12,0.6744186046511628
BSRMSVTC,43,43,127,12,1.0
BTMOEMEP,43,43,129,12,1.0
BUZIIBYG,43,43,129,12,1.0
CCLHWFWF,43,43,129,12,1.0
DBWLZWNK,43,43,129,12,1.0
DDEXPPXU,43,43,127,12,1.0
DEWLVASR,42,43,114,12,0.9767441860465116
DJBLNPNC,27,43,61,12,0.627906976744186
DNMPSKTB,43,43,129,12,1.0
DUCMGGNW,43,43,129,12,1.0
ELQGMQWE,43,43,129,12,1.0
EVBVXETX,43,43,129,12,1.0
FCYBOAXC,43,43,129,12,1.0
FDXPMYGF,40,43,108,12,0.9302325581395349
FITUEHWN,43,43,129,12,1.0
FQCLOEXA,43,43,129,12,1.0
FRHNWLNI,43,43,129,12,1.0
FTSVTTSR,42,43,121,12,0.9767441860465116
FWUCPMMW,30,43,62,12,0.6976744186046512
GIKPEWTY,5,43,8,4,0.11627906976744186
GKQIJYDH,43,43,129,12,1.0
GMBFCMIU,1,43,2,1,0.023255813953488372
GYHKIVQT,43,43,129,12,1.0
HCDTGMST,36,43,94,12,0.8372093023255814
HXYSSRXE,43,43,129,12,1.0
IGDVVKUD,36,43,89,12,0.8372093023255814
JBVHSUWY,43,43,125,12,1.0
JERHKLYW,43,43,129,12,1.0
JPBRUTWP,43,43,129,12,1.0
JSLXRQOK,41,43,96,12,0.9534883720930233
KAGJCHMR,39,43,113,12,0.9069767441860465
KEUWZRKO,43,43,120,12,1.0
KFQSHBNH,7,43,21,7,0.16279069767441862
KJNSOAHR,43,43,129,12,1.0
LLHREMKS,43,43,129,12,1.0
LPHPPJUG,43,43,129,12,1.0
LRVGFDFM,43,43,128,12,1.0
LSOIUSXD,43,43,129,12,1.0
LTOYKIML,43,43,129,12,1.0
LUENUFGA,43,43,129,12,1.0
MBSBZBXA,43,43,129,12,1.0
MIRCVAMV,31,43,72,12,0.7209302325581395
NAQIHUKZ,26,43,59,12,0.6046511627906976
NZKBIBNU,43,43,129,12,1.0
OGAFEHLU,29,43,71,12,0.6744186046511628
OJIFIHMZ,43,43,129,12,1.0
OKMBFVKS,43,43,129,12,1.0
OXKURKXR,43,43,125,12,1.0
PLMZALFA,3,43,5,3,0.06976744186046512
PYZMVUWD,28,43,66,11,0.6511627906976745
QJQJSWFU,43,43,129,12,1.0
QKXNTIIB,43,43,128,12,1.0
QRKRBYJL,43,43,129,12,1.0
QSDCUCLB,10,43,20,7,0.23255813953488372
QVLMOEYE,43,43,129,12,1.0
RAWUKQMJ,43,43,129,12,1.0
RCBZUSIM,43,43,122,12,1.0
RJCAXSGH,7,43,21,7,0.16279069767441862
RJGPVEXX,43,43,129,12,1.0
ROACSLMG,43,43,129,12,1.0
RUVXNNVA,3,43,6,2,0.06976744186046512
SAAYMURU,43,43,127,12,1.0
SAHWCZNH,43,43,129,12,1.0
SDWAYPIK,43,43,127,12,1.0
SNHYOVBM,43,43,122,12,1.0
STZDBITS,43,43,129,12,1.0
SUOYXCHP,37,43,95,12,0.8604651162790697
TANNMIMB,6,43,9,5,0.13953488372093023
TGOELCAG,28,43,69,11,0.6511627906976745
UGEQLMXM,43,43,129,12,1.0
UIFPPCLR,43,43,128,12,1.0
UQYUIVVR,42,43,124,12,0.9767441860465116
UXSPKBJR,43,43,129,12,1.0
VBYCLTYZ,43,43,129,12,1.0
VMAQSTJE,43,43,129,12,1.0
VUAFAIYJ,43,43,129,12,1.0
VWMBASNE,43,43,129,12,1.0
WBLJNPZQ,43,43,129,12,1.0
WHPUAOID,42,43,114,12,0.9767441860465116
WPQXWHYO,43,43,129,12,1.0
WQMVCOEM,42,43,115,12,0.9767441860465116
XIFHSOWQ,43,43,129,12,1.0
XIIEJNEE,28,43,52,12,0.6511627906976745
XIPPENFQ,43,43,129,12,1.0
XMKRPGLB,43,43,128,12,1.0
XUOIQPFL,43,43,129,12,1.0
YSYHGLQK,39,43,98,12,0.9069767441860465
ZCELVYQU,40,43,105,12,0.9302325581395349
ZGJXVMNI,43,43,129,12,1.0
ZKENOUDA,43,43,126,12,1.0
ZXERAXWP,43,43,129,12,1.0
